1.29	802.47	0.10
1.31	732.39	0.11
1.32	802.47	0.10
1.32	996.17	0.08
1.32	996.17	0.08
1.33	909.09	0.09
1.36	803.71	0.10
1.37	869.57	0.10
1.37	869.57	0.10
1.37	869.57	0.10
1.38	994.26	0.08
1.38	1099.37	0.08
1.39	1235.15	0.07
1.43	786.09	0.11
1.43	786.09	0.11
1.43	850.37	0.10
1.44	1041.04	0.08
1.44	1196.78	0.07
1.44	1162.01	0.07
1.45	1162.01	0.07
1.47	904.35	0.09
1.47	945.45	0.09
1.47	968.34	0.09
1.47	1753.79	0.05
1.48	1753.79	0.05
1.48	1753.79	0.05
1.50	1230.77	0.07
1.51	1195.40	0.07
1.52	1042.08	0.08
1.53	992.37	0.08
1.54	1162.01	0.07
1.54	1162.01	0.07
1.55	1015.63	0.08
1.56	967.44	0.09
1.60	686.47	0.12
1.60	686.47	0.12
1.60	840.74	0.10
1.61	841.42	0.10
1.61	918.73	0.09
1.62	918.73	0.09
1.66	682.86	0.12
1.67	640.79	0.13
1.67	696.12	0.12
1.68	696.58	0.12
1.69	942.88	0.09
1.69	901.99	0.09
1.69	901.99	0.09
1.71	828.69	0.10
1.71	863.07	0.10
1.72	863.07	0.10
1.72	1411.13	0.06
1.73	1571.00	0.05
1.73	1571.00	0.05
1.74	1460.67	0.06
1.74	1571.00	0.05
1.74	1699.35	0.05
1.75	1632.65	0.05
1.75	2144.33	0.04
1.76	1575.76	0.05
1.77	1704.92	0.05
1.77	1777.78	0.05
1.77	1857.14	0.04
1.77	1857.14	0.04
1.77	2260.87	0.04
1.79	1637.80	0.05
1.79	1637.80	0.05
1.80	1637.80	0.05
1.80	1637.80	0.05
1.80	2260.87	0.04
1.80	2260.87	0.04
1.80	2260.87	0.04
1.82	1637.80	0.05
1.82	1575.76	0.05
1.83	1575.76	0.05
1.83	2144.33	0.04
1.83	2144.33	0.04
1.86	1316.46	0.06
1.86	1316.46	0.06
1.86	1316.46	0.06
1.87	1316.46	0.06
1.87	1316.46	0.06
1.88	1446.45	0.06
1.88	1498.56	0.06
1.88	1498.56	0.06
1.88	1498.56	0.06
1.89	1498.56	0.06
1.90	2222.22	0.04
1.90	2222.22	0.04
1.90	2105.26	0.04
1.91	2000.00	0.04
1.91	1818.18	0.05
1.92	2222.22	0.04
1.92	2000.00	0.04
1.93	1739.13	0.05
1.93	1666.67	0.05
1.96	1090.15	0.08
1.96	1223.53	0.07
1.97	1223.53	0.07
1.97	1223.53	0.07
1.97	1262.14	0.07
1.98	1347.15	0.06
1.98	1303.26	0.06
1.98	1347.15	0.06
1.99	1498.56	0.06
2.01	1042.08	0.08
2.02	1556.89	0.05
2.02	1556.89	0.05
2.02	1556.89	0.05
2.02	1619.94	0.05
2.02	1619.94	0.05
2.03	1619.94	0.05
2.06	1042.08	0.08
2.06	1069.96	0.08
2.06	1069.96	0.08
2.07	1619.94	0.05
2.07	1619.94	0.05
2.07	1498.56	0.06
2.08	1498.56	0.06
2.10	1015.63	0.08
2.11	1015.62	0.08
2.11	1015.62	0.08
2.11	1619.94	0.05
2.11	1619.94	0.05
2.11	1619.94	0.05
2.12	1619.94	0.05
2.12	1619.94	0.05
2.15	1130.43	0.07
2.15	1130.43	0.07
2.15	1762.71	0.05
2.15	1762.71	0.05
2.16	1556.89	0.05
2.16	1556.89	0.05
2.17	1498.56	0.06
2.18	1303.26	0.06
2.19	1121.90	0.07
2.21	943.74	0.09
2.21	1347.15	0.06
2.21	1303.26	0.06
2.22	1303.26	0.06
