2.33	727.27	0.11
2.33	851.06	0.09
2.33	975.61	0.08
2.35	816.33	0.10
2.37	833.33	0.10
2.37	833.33	0.10
2.39	816.33	0.10
3.12	96.85	0.83
3.12	98.77	0.81
3.12	98.77	0.81
3.12	100.76	0.79
3.13	100.76	0.79
3.14	99.50	0.80
3.14	101.52	0.79
3.14	103.36	0.77
3.16	101.01	0.79
3.16	103.09	0.78
3.17	1666.67	0.05
3.17	1666.67	0.05
3.19	1212.12	0.07
3.20	1000.00	0.08
3.22	851.06	0.09
3.24	816.33	0.10
3.25	701.75	0.11
3.27	634.92	0.13
3.29	645.16	0.12
3.30	588.24	0.14
3.33	493.83	0.16
3.33	493.83	0.16
3.36	465.12	0.17
3.36	506.33	0.16
3.38	500.00	0.16
3.40	500.00	0.16
3.41	506.33	0.16
3.43	500.00	0.16
3.45	500.00	0.16
3.46	493.83	0.16
3.48	533.33	0.15
3.51	454.55	0.18
3.51	540.54	0.15
3.54	454.55	0.18
3.54	500.00	0.16
3.56	493.83	0.16
3.57	493.83	0.16
3.59	493.83	0.16
3.61	500.00	0.16
3.62	500.00	0.16
3.64	500.00	0.16
3.66	533.33	0.15
3.69	449.44	0.18
3.69	533.33	0.15
3.71	481.93	0.17
3.72	487.80	0.16
3.74	487.80	0.16
3.75	487.80	0.16
3.77	487.80	0.16
3.79	487.80	0.16
4.54	88.50	0.90
4.54	90.09	0.89
4.55	93.02	0.86
4.55	93.02	0.86
4.55	94.79	0.84
4.56	95.01	0.84
4.57	96.62	0.83
4.58	96.39	0.83
4.59	98.04	0.82
4.81	78.43	1.02
4.82	283.69	0.28
4.84	272.11	0.29
4.86	258.06	0.31
4.87	248.45	0.32
4.88	239.52	0.33
4.90	238.10	0.34
4.92	228.57	0.35
4.93	229.89	0.35
4.95	220.99	0.36
4.97	500.00	0.16
4.98	506.33	0.16
5.01	459.77	0.17
5.01	506.33	0.16
5.03	493.83	0.16
5.05	487.80	0.16
5.06	487.80	0.16
5.08	487.80	0.16
5.10	487.80	0.16
5.11	487.80	0.16
5.13	493.83	0.16
5.15	487.80	0.16
5.16	526.32	0.15
5.19	449.44	0.18
5.19	493.83	0.16
5.21	487.80	0.16
5.23	487.80	0.16
5.24	487.80	0.16
5.26	487.80	0.16
5.28	487.80	0.16
5.29	487.80	0.16
5.31	493.83	0.16
5.33	493.83	0.16
5.34	526.32	0.15
5.37	449.44	0.18
5.37	493.83	0.16
5.39	487.80	0.16
5.41	487.80	0.16
5.42	487.80	0.16
5.44	487.80	0.16
5.98	116.62	0.69
5.98	119.05	0.67
5.98	121.95	0.66
5.98	125.00	0.64
6.01	124.61	0.64
6.02	124.61	0.64
6.05	122.32	0.65
6.05	125.00	0.64
6.07	124.61	0.64
6.08	124.61	0.64
6.10	666.67	0.12
6.11	597.01	0.13
6.13	540.54	0.15
6.15	487.80	0.16
6.18	487.80	0.16
6.18	487.80	0.16
6.20	526.32	0.15
6.21	481.93	0.17
6.23	487.80	0.16
6.25	487.80	0.16
6.26	487.80	0.16
6.28	487.80	0.16
6.30	481.93	0.17
6.31	487.80	0.16
6.33	533.33	0.15
6.36	454.55	0.18
6.36	500.00	0.16
6.38	493.83	0.16
6.39	493.83	0.16
6.41	493.83	0.16
6.42	493.83	0.16
6.44	493.83	0.16
6.46	500.00	0.16
6.47	493.83	0.16
6.49	493.83	0.16
6.51	533.33	0.15
6.53	454.55	0.18
6.54	500.00	0.16
6.55	493.83	0.16
6.57	493.83	0.16
6.59	493.83	0.16
6.60	493.83	0.16
6.62	493.83	0.16
6.63	500.00	0.16
6.65	500.00	0.16
6.67	493.83	0.16
6.68	540.54	0.15
6.71	459.77	0.17
6.71	506.33	0.16
6.74	465.12	0.17
7.43	95.24	0.84
7.43	96.85	0.83
7.43	98.52	0.81
7.43	100.25	0.80
7.43	102.04	0.78
7.45	102.56	0.78
7.45	104.17	0.77
7.47	105.26	0.76
7.47	105.26	0.76
7.50	105.26	0.76
7.50	1025.64	0.08
7.52	851.06	0.09
7.54	740.74	0.11
7.55	655.74	0.12
7.57	588.24	0.14
7.59	579.71	0.14
7.60	526.32	0.15
